ID,Name,Rating,Reviews,Description,Location
142,Reid Park Zoo,4.4,1073,"Reid Park Zoo is a hidden gem, nestled in the center of Tucson, and is the perfect place to enjoy time outside while discovering the wonders of wildlife.","Tucson, Arizona"
143,Cactus Forest Drive,4.7,233,Eight-mile scenic drive in Saguaro East.,"Tucson, Arizona"
144,Mark Sublette Medicine Man Gallery,4.9,80,"Mark Sublette Medicine Man Gallery specializes in Antique Native American Art, Old Pawn Jewelry, Navajo Rugs, Baskets, Early 2oth Century Paintings, Taos founders. The gallery houses the Maynard Dixon…","Tucson, Arizona"
145,Trail Dust Town,4.3,320,"Pinnacle Peak and Trail Dust Town are rich with their own history, and people come from all over the world to experience the old west at these centerpieces of Tucson. Don't miss a wild west stunt …","Tucson, Arizona"
146,Tucson Mountain Park West,4.7,413,"A 20,000-acre desert natural preserve that accommodates many outdoor activities.","Tucson, Arizona"
147,University of Arizona,4.6,595,"Whether we are orbiting an asteroid or determining how we feed 9 billion people, Arizona Wildcats are continually looking to explore, experiment and expand. The campus is home to a variety of attractions…","Tucson, Arizona"
148,Red Hills Visitor Center,4.6,582,The western section of Saguaro National Park.,"Tucson, Arizona"
149,Franklin Auto Museum,4.8,153,"For more than 40 years, the home of the late collector Tom Hubbard has been the center of Franklin Automobile history. Featuring more than 25 antique and classic Franklin automobiles, the museum is…","Tucson, Arizona"
150,Rincon Mountain Visitor Center,4.7,1165,The eastern section of Saguaro National Park.,"Tucson, Arizona"
151,Tucson Museum of Art and Historic Block,4.3,274,The Tucson Museum of Art was founded 1924. It is Southern Arizona's premier presenter of fine art and art education programs. The Museum features permanent and traveling exhibitions of Modern and …,"Tucson, Arizona"
152,Philabaum Glass Gallery,5,33,"Arizona's only all glass gallery features contemporary glass art from over 75 nationally recognized artists. Unique gifts, blown glass, sculpture, platters, one-of-a-kind pieces, artful jewelry and…","Tucson, Arizona"
153,Children's Museum Tucson,4.3,242,"The Children's Museum Tucson provides a fun, play-based, hands-on learning experience for children and their families. Exhibits include Sense of Place, Imagine It!, Bodyology, Investigation Station…","Tucson, Arizona"
154,Tucson Desert Art Museum,4.6,93,"The Museum educates its guests on the art and history of the Desert Southwest. Nowhere else will you see such a variety of contemporary and classic art, Native American textiles and southwestern artifacts…","Tucson, Arizona"
155,Fourth Avenue,3.9,314,An historic shopping area.,"Tucson, Arizona"
156,Ventana Canyon Hiking Trail,4.6,111,"Trailhead: In Tucson, starting at the intersection of Speedway and Wilmot, follow Wilmot North. Wilmot Road turns into Tanque Verde at Pima Road. Follow Tanque Verde to Sabino Canyon Road. Turn left…","Tucson, Arizona"
157,Arizona Theater Company,4.7,159,"Founded in 1966 in Tucson, AZ, and deemed the Official State Theatre by Governor Rose Mofford, ATC is celebrating its 55th season currently led by Kasser Family Artistic Director Matt August and Executive…","Tucson, Arizona"
158,Ignite Sign Art Museum,4.8,29,Ignite Sign Art Museum opened in October 2018 with the mission of preserving and restoring historically significant signs. More than twelve Arizona roadside signs have been rescued and saved from …,"Tucson, Arizona"
159,Gadsden-Pacific Division Tucson Toy Train Museum,5,31,"Indoor Museum Open Sunday Afternoons 1-4 PM Toy Train operating Layouts located in our 6,000 SF building, ""G"" to ""Z"" Scale. Fun for ALL AGES. Outdoor Exhibits Operate subject to weather & Staffing…","Tucson, Arizona"
160,Arizona History Museum,4.4,108,The Arizona History Museum's focus is southern Arizona history from Spanish colonial through territorial eras. Exhibit topics include mining and transportation. The Arizona's Treasures exhibit features…,"Tucson, Arizona"
161,Flandrau Science Center & Planetarium,4.1,95,"Located on the University of Arizona campus, Flandrau Science Center & Planetarium inspires visitors of all ages to explore the wonders of science. Take a journey through the solar system and beyond…","Tucson, Arizona"
162,Casino Del Sol,3.8,326,"Casino Del Sol, Southern Arizona's premier entertainment and gaming destination, offers nearly 1000 slot machines, live blackjack, poker and bingo. There are 6 restaurants and three bars, live entertainment…","Tucson, Arizona"
163,Arizona State Museum,4.3,191,"Arizona State Museum (ASM) is the oldest and largest anthropological research facility in the U.S. Southwest, with expansive collections that are exceptional resources for the teaching, study, and…","Tucson, Arizona"
164,390th Memorial Museum,4.8,33,The 390th Memorial Museum honors and memorializes those veterans who provided ground support and flew the B-17 in the 390th Bombardment Group of the Eighth Air Force in WWII. The Museum serves as …,"Tucson, Arizona"
165,University of Arizona Museum of Art,4.3,91,"Tucson’s premier art collection. Seven centuries of art - one museum. Home to the spectacular, 26 surviving panels of the Altarpiece of Ciudad Rodrigo, acknowledged by scholars as the finest 15th …","Tucson, Arizona"
166,Hohokam Road,4.5,22,Nine-mile scenic drive in Saguaro West.,"Tucson, Arizona"
167,The Rogue Theatre,4.9,48,"The Rogue Theatre recently announced its 21st Season: TARTUFFE by Molière (September 5–28, 2025); CLOUD 9 by Caryl Churchill (October 31–November 23, 2025); PETER AND THE STAR CATCHER by Dave Barry…","Tucson, Arizona"
168,Spencer's Observatory,4.5,28,"Spencer's Observatory is Tucson's new, privately-owned observatory offering personalized Star Tours of the Tucson sky under a custom-built retractable roof with patio. Situated near the southwestern…","Tucson, Arizona"
169,Borderlands Brewing Co.,4.3,51,Borderlands Brewing Company is located in a historic warehouse arts district located in a 100 year old produce warehouse in downtown Tucson. Check our Google listing for hours of operation,"Tucson, Arizona"
170,Tucson Auto Museum,5,8,"Southern Arizona's most diverse collection of award-winning classic cars and automobilia under one roof. There are over 80 cars on display from all over the world. We showcase the very old, the iconic…","Tucson, Arizona"
171,Mission Garden,4.4,16,"Mission Garden is a living agricultural museum of Sonoran Desert-adapted heritage fruit-trees, traditional local heirloom crops and edible native plants. We are a non-profit, volunteer-based educational…","Tucson, Arizona"
172,King Canyon Trail,4.4,26,Popular hiking trail in Saguaro West.,"Tucson, Arizona"
173,Ft Lowell Museum,4.3,52,Fort Lowell was a military supply post active from 1873 to 1891. The Museum interprets the purpose and history of the fort and the daily lives of soldiers and their families. It also presents the …,"Tucson, Arizona"
174,The Maynard Dixon And Native American Art Museum,4.8,10,"Maynard Dixon is considered to be the premier artist of the American West. His ability to capture the West and its inhabitants, in a non-judgmental and honest way, has left an indelible legacy. Located…","Tucson, Arizona"
175,Desert Diamond Casino Sahuarita,3.2,151,"At Desert Diamond Casino Sahuarita, you and your friends can let loose, get your game on and make the experience one to remember! Come play your choice of hundreds of slots or try our live blackjack…","Tucson, Arizona"
176,Funtasticks Family Fun Park,3.5,81,"Welcome to Funtasticks Family Fun Park- With tons of entertainment to choose from for your entire family, Funtasticks offers something for the kid in all of us. Including Tucson's Largest Indoor Laser…","Tucson, Arizona"
177,Center for Creative Photography,4.2,65,"The premier research collection of North American photographic fine art and archives, promoting inquiry, dialogue, and scholarship.","Tucson, Arizona"
178,Rillito Park Horse Racetrack,4.3,24,Historical landmark for quarter horse racing for 50 year.,"Tucson, Arizona"
179,Yume Japanese Gardens,4,33,"Yume Japanese Gardens is the living expression of an ancient Japanese heritage. Covering three-quarters of an acre in central Tucson, Arizona, it comprises six traditional visions of landscape. In…","Tucson, Arizona"
180,Barrio Brewing Co,4.4,46,Arizona's Oldest Brewery and 100% Employee-Owned! Join us and try any or all of our fresh microbrews. We have up to 12 on tap that all pair well with our amazing food menu. Happy Hour Monday-Friday…,"Tucson, Arizona"
181,Taliesin West,4.7,4245,"Experience the beauty of the Sonoran Desert through the eyes of Frank Lloyd Wright. Deeply connected to the land from which it was forged, Taliesin West is a celebration of the Arizona desert — a …","Scottsdale, Arizona"
182,Old Town Scottsdale,4.2,5666,"This quaint neighborhood in greater Phoenix is a shopping galore with a charming Old West feel. Old Town Scottsdale is the perfect spot for snatching gorgeous turquoise jewelry, but make sure you …","Scottsdale, Arizona"
183,McCormick-Stillman Railroad Park,4.7,1251,Climb aboard the miniature replica of a Colorado narrow gauge railroad to explore this park that features famous railroad cars and an antique carousel.,"Scottsdale, Arizona"
184,Butterfly Wonderland,4.4,1549,Butterfly Wonderland is the largest indoor butterfly conservatory in America and should certainly top your indoor family fun list of “Things to do in Arizona”. The magnificent glass conservatory provides…,"Scottsdale, Arizona"
185,Western Spirit: Scottsdale's Museum of the West,4.7,688,"Western Spirit: Scottsdale's Museum of the West celebrates the art, history and unique stories of the 19 states comprising the American West. The rotating exhibitions feature hundreds of Western artworks…","Scottsdale, Arizona"
186,OdySea Aquarium,4.1,1164,"OdySea Aquarium, located in Scottsdale, is the largest aquarium in the southwest, OdySea Aquarium takes guests on an entertaining and educational oceanic adventure like no other. Voted Best Family…","Scottsdale, Arizona"
187,Scottsdale Fashion Square,4.4,618,"Scottsdale Fashion Square is the Southwest's distinctive address for premier shopping, dining and entertainment. Scottsdale Fashion Square offers a compelling retail experience in the heart of the…","Scottsdale, Arizona"
188,Kierland Commons,4.5,246,"Kierland Commons is a unique, upscale Main Street outdoor lifestyle center that artfully blends retail shopping, dining and entertainment. The one-of-a-kind development incorporates over 70 high-end…","Scottsdale, Arizona"
189,Octane Raceway,4.7,447,"America's Best Kart Racing! Octane Raceway features a 1/3 mile indoor/outdoor track, 45+ mph karts, Velocity VR, Axe Throwing, Brickyard Bar & Grill, arcade, and event rooms. Corporate events and …","Scottsdale, Arizona"
190,Talking Stick Resort Casino,3.7,804,"You'll love playing your favorite games at Talking Stick Resort™ because we deliver the best casino resort experience in Scottsdale. With more than 50 table games, 800 slot machines and poker tournaments…","Scottsdale, Arizona"
191,Phoenix Herpetological Sanctuary,4.9,68,"The Phoenix Herpetological Sanctuary is a 501(c)(3) non-profit organization and is a statewide facility that includes a surrender facility, education program, summer camps and rescue and rehabilitation…","Scottsdale, Arizona"
192,Native Art Market,4.9,25,"Our small, personal Native Art Market contains 35 artists all of Native American descent. Native Art Market is a weekly weekend market held every weekend October through March. We are located at The…","Scottsdale, Arizona"
193,LDV Winery,4.7,50,"Tasting room & retail establishment for LDV Winery's estate-grown and produced Rhone varietal wines. Enjoy a wine tasting flight, wines by the glass or bottle to enjoy on one of two beautiful patios…","Scottsdale, Arizona"
194,Fifth Avenue,4.1,131,"Downtown area with specialty shops, art galleries, boutiques, crafts shops and restaurants.","Scottsdale, Arizona"
195,Celebration Of Fine Art,4.8,80,"Where art lovers and artists connect! Visit 100 artists studios under one big roof in the big white tent! Jan 18 - Mar 30, 2025. Open 10-6 daily.","Scottsdale, Arizona"
196,Arizona Boardwalk,3.7,14,"Scottsdale’s one-of-a-kind entertainment destination that features nine marquee attractions – OdySea Aquarium, Butterfly Wonderland, UFO Experience, Laser + Mirror Maze, Museum of Illusions, Cluville…","Scottsdale, Arizona"
197,Troon North Golf Club,4.5,452,Troon North Golf Club stands as a hallmark of the Scottsdale desert golf experience with two 18-hole courses stretching through the natural ravines and foothills in the shadows of Pinnacle Peak. Giant…,"Scottsdale, Arizona"
198,TPC Scottsdale - Stadium Course,4.3,256,"Woven into the Sonoran Desert with stunning panoramic views of the McDowell Mountains, TPC Scottsdale boasts 36 holes of inspiring golf and upscale amenities that let everyday golfers experience ""…","Scottsdale, Arizona"
199,Wonderspaces Arizona,3.9,86,Wonderspaces partners with artists from around the world to present extraordinary and accessible art for all audiences to enjoy with family and friends. Open year-round inside Scottsdale Fashion Square…,"Scottsdale, Arizona"
200,Old Adobe Mission,4.5,66,"Built in 1933, the Old Adobe Mission is the oldest Catholic Church in Scottsdale. This landmark Mission Church is visited by thousands each year.","Scottsdale, Arizona"
201,Stones Crystals Minerals Fossils Gems,5,33,"Come see our large collection of Crystals, Fossils, Gems, Minerals and Rocks. We have rare and unique specimens as well beautiful common Rocks & Crystals from all over the world. All items are expertly…","Scottsdale, Arizona"
202,Museum Of Illusions Scottsdale,3.9,17,Experience the impossible with an entry ticket to the Museum of Illusions Scottsdale. Immerse yourself in a world where your eyes will be in a constant battle with your brain. Located just North of…,"Scottsdale, Arizona"
203,Scottsdale Museum of Contemporary Art,3.6,175,"The Scottsdale Museum of Contemporary Art champions creativity, innovation and the vitality of the visual arts. We seek both to build and to educate audiences for modern and contemporary art, as well…","Scottsdale, Arizona"
204,Casino Arizona,3.1,288,"Casino Arizona is truly your home for the hottest gaming action around Phoenix and Scottsdale, AZ. We proudly offer more than 900 ticket-pay multi-denominational slot machines, including many high…","Scottsdale, Arizona"
205,Roadhouse Cinemas,4,75,"We would like to invite you to an unparalleled movie and dining experience. Open 365 days a year, RoadHouse Cinemas offers a fabulous restaurant menu created by an award-winning chef and restaurateur…","Scottsdale, Arizona"
206,Grayhawk Golf Club,4.3,213,"Open to everyone, Grayhawk Golf Club offers an unforgettable lineup of golf and lifestyle experiences","Scottsdale, Arizona"
207,Cave Creek Outfitters,4.9,787,"Cave Creek Outfitters is a riding stable offering rides into the Tonto National Forest and the Scottsdale Preserve. Also available Group activities such as Corporate Events, Teambuilding, Cowboy Cookouts…","Scottsdale, Arizona"
208,Scottsdale Historical Museum,4,62,"This old school house features exhibits on Scottsdale's history, including its founding father Winfield Scott.","Scottsdale, Arizona"
209,Arizona Fine Art EXPO,4.9,19,Renowned artists from across the globe make the beautiful Sonoran Desert in north Scottsdale home for ten weeks as they create original pieces of fine art in what has come to be known as one of Arizona…,"Scottsdale, Arizona"
210,iFLY Indoor Skydiving - Phoenix,4.8,304,"Ever dream of flying? Now you can at iFLY Indoor Skydiving in Phoenix. Experience the thrill of skydiving without having to jump from a perfectly good airplane - no falling, no parachutes, just you…","Scottsdale, Arizona"
211,The Phoenician Golf Course,4.3,125,"Showcasing the unique beauty of Arizona’s Sonoran Desert, the course plays to a par 71 and offers four sets of player-friendly tees, ranging from 4,594 yards from the forward tees to 6,518 yards from…","Scottsdale, Arizona"
212,Antique Trove,4.2,19,"We are the premier antique mall in Arizona. With over 23,000 square feet, 140 dealers, we feature jewelry, furniture, collectibles, antiques, midcentury modern, just to name a few! Come visit us for…","Scottsdale, Arizona"
213,Topgolf Scottsdale,4.4,364,Topgolf is the premier golf entertainment complex where the competition of sport meets your favorite local hangout. Challenge your friends and family to addictive point-scoring golf games that anyone…,"Scottsdale, Arizona"
214,Kierland Golf Club,4.3,198,This spacious 27-hole layout was created by designer Scott Miller and features more than 300 bunkers.,"Scottsdale, Arizona"
215,Su Vino Winery,3.9,124,"Located in the Scottsdale Airpark area of Scottsdale, Su Vino Winery offers a one of a kind experience. Come sip, sample and savor any of our award winning wines at Scottsdale's first winery. Private…","Scottsdale, Arizona"
216,Odysea Mirror Maze,3.4,47,"Enter the Mirror Maze, a challenging adventure for the body and mind. By surrounding your pathways with mirrors, you see infinite reflections, impossible corridors, and mind-bending light effects. …","Scottsdale, Arizona"
217,UFO Experience,3.5,10,"UFO Experience is an out-of-this-world, family-friendly exhibition based on the widespread interest in UFOs and alien lifeforms. Explore ancient unsolved mysteries, see alien artifacts, analyze modern…","Scottsdale, Arizona"
218,Talking Stick Golf Club,3.7,196,The Salt River Pima-Maricopa Indian Community has built two uniquely divergent courses; golfers looking for wide-open links will be as content as those looking for traditional tree-lined doglegs.,"Scottsdale, Arizona"
219,"American Fine Art, Inc.",3.8,33,"American Fine Art, Inc. specializes in the original works of 19-21st century masters including Picasso, Warhol, Miro, Wyeth, Matisse, Neiman, Rockwell, and many more. Our International Art Consultants…","Scottsdale, Arizona"
220,Gainey Ranch Golf Club,4.1,62,"Golf Club offering three nine-hole courses that are played in three eighteen-hole combinations: The Lakes, The Arroyo and The Dunes.","Scottsdale, Arizona"
221,Camelback Golf Club,3.8,112,"With 36 holes of championship golf, Camelback Golf Club in Scottsdale, Arizona offers one of the most spectacular golf experiences in the Southwest - just as you would expect at one of the country…","Scottsdale, Arizona"
222,The Short Course at Mountain Shadows,4.6,48,"The Short Course at Mountain Shadows, nestled in the foothills of Camelback Mountain, offers a scenic layout and a challenging round of golf for players at all skill levels. The course offers 18 holes…","Scottsdale, Arizona"
223,Escape the Room AZ,4.7,1094,"Escape the Room is a fun, interactive live event located in old-town Scottsdale. While it looks like any other ordinary room, it's actually a real life adventure game designed for small groups of …","Scottsdale, Arizona"
224,Aridus Wine Company,4,45,"A brand new tasting room in the heart of Old Town Scottsdale, Aridus Wine Company offers a beautiful space in which folks can experience the award-winning wines that we produce at our winery in Southeast…","Scottsdale, Arizona"
225,MacDonald's Ranch,4.7,348,"Your trip to the Valley of the Sun will be a memory you will never forget! Leave the city behind and enjoy the peaceful, scenic Sonoran Desert on one of our many horses. We are proud of our gentle…","Scottsdale, Arizona"
226,King Galleries,5,5,"King Galleries is one of the leading galleries of both contemporary and historic Native American pottery in the US. The gallery represents many of today's leading potters, while introducing the work…","Scottsdale, Arizona"
227,TPC Scottsdale - Champions Course,3.9,127,"Woven into the Sonoran Desert with stunning panoramic views of the McDowell Mountains, TPC Scottsdale boasts 36 holes of inspiring golf and upscale amenities that let everyday golfers experience ""…","Scottsdale, Arizona"
228,Creative Gateways Art Gallery Scottsdale,4.4,14,"Creative Gateways Art Gallery Scottsdale offers a unique fine art experience with eclectic art offerings from artists all over the world. We have an array of beautiful glass art, paintings, wall art…","Scottsdale, Arizona"
229,Huhugam Ki Museum,3.9,8,Native American museum located on the Salt River Reservation.,"Scottsdale, Arizona"
230,Peoria Sports Complex,4.6,350,"Peoria Sports Complex was the first Major League Baseball spring training and player development facility in the country shared by two teams. Built in 1994, the San Diego Padres and Seattle Mariners…","Peoria, Arizona"
231,Honey Hive Farms,5,46,"Raw Local Honey from Arizona? Honey Hive Farms is the place to visit. Come to our farm for our Try Before You Buy Honey Event. See you Saturday at 14611 North 83rd Ave, Peoria AZ 85381. Honey Hive…","Peoria, Arizona"
232,Paqua Park at Scorpion Bay Marina,3,2,You’ll run. You’ll jump. You’ll slide. You’ll bounce. You’ll fall . . . and get back up and do it all again! Paqua Park is a great way to beat the heat and have some fun. Located on Lake Pleasant …,"Peoria, Arizona"
233,Trilogy Golf Club at Vistancia,4.1,78,"Designed by Gary Panks, Trilogy Golf Club at Vistancia is one of Arizona's premier golfing destinations. With tees ranging from 5,573 yards to 7,259 yards, this 18-hole, par 72 championship golf course…","Peoria, Arizona"
234,Arizona Broadway Theatre,4.4,337,"ABT Performing Arts Association, Inc. is a 501(c)(3) nonprofit organization and Arizona’s one-of-a-kind, award-winning, state-of-the-art professional theatre showcasing locally and nationally acclaimed…","Peoria, Arizona"
235,Deer Valley Petroglyph Preserve,4.3,128,CLOSED FOR JUNE AND JULYREOPENING AUGUST 2025,"Glendale, Arizona"
